Manufacturer,Model,Launch_Date,Sale_Price,Resale_Price
Audi,A4,2015/12/10,27.28,23.54
Audi,A6,2016/1/1,41.53,31.73
Audi,A8,2016/2/10,87.98,60.72
Audi,S3,2016/7/10,39.98,20.83
Audi,S4,06/15/2018,45.98,27.93
Audi,S5,09/10/2015,67.9,35.92
BMW,320i,2016/9/10,32,25.93
BMW,325Li,2016/9/10,32.59,26.01
BMW,330i,2016/9/10,45.2,30.45
BMW,520Li,2016/8/15,43.56,34.98
BMW,528Li,2016/7/15,55.06,43.72
BMW,535Li,2016/7/15,68.86,49.92
Buick,Regal,2014/10/10,18.99,12.83
Buick,Encore,2016/6/20,13.99,8.94
Buick,Park Avenue,2011/5/10,38.8,14.99
Buick,Larcosse,2016/3/10,22.58,16.82
Honda,Civic,2016/11/10,11.59,7.83
Honda,Accord,2016/9/20,23.98,17.87
Honda,Unknown,2016/3/10,17.98,14.82
Honda,Passport,2015/3/10,23.98,16.93
Honda,Odyssey,2015/7/10,22.98,14.94
Ford,Focus,2016/8/1,13.08,7.83
Ford,Mustang,11/10/2015,76.4,29.83
Ford,Mondeo,2016/11/20,17.98,14.53
Mercedes,C180,2016/5/10,31.48,21.86
Mercedes,C200,2016/5/10,32.58,23.72
Mercedes,GLC200,2015/11/15,39.6,30.84
Mercedes,Unknown,2015/11/15,42.8,31.85
Mercedes,GLC300,2015/11/15,48.6,31.41
Mercedes,E200L,2016/8/10,43.68,33.82
Mercedes,E300L,2016/8/10,47.48,35.95
