Department_old,Department_new,ChangeVis_Department_old,ChangeVis_Department_new
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Technical Department,TD,0,3
Manage Department,Manage Department,0,0
Manage Department,Manage Department,0,0
Manage Department,Manage Department,0,0
Manage Department,Manage Department,0,0
Manage Department,Manage Department,0,0
Manage Department,Manage Department,0,0
Manage Department,Manage Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
