Department,Staff_old,Staff_new,ChangeVis_Department,ChangeVis_Staff_old,ChangeVis_Staff_new
TD,Bob,TD-Bob,0,0,3
TD,Lily,TD-Lily,0,0,3
TD,Ivy,TD-Ivy,0,0,3
TD,Alan,TD-Alan,0,0,3
TD,John,TD-John,0,0,3
TD,Iris,TD-Iris,0,0,3
TD,David,TD-David,0,0,3
TD,Tony,TD-Tony,0,0,3
TD,Eric,TD-Eric,0,0,3
TD,Jim,TD-Jim,0,0,3
TD,Ken,TD-Ken,0,0,3
TD,Judy,TD-Judy,0,0,3
TD,Mandy,TD-Mandy,0,0,3
MD,Tina,MD-Tina,0,0,3
MD,Sara,MD-Sara,0,0,3
MD,Diana,MD-Diana,0,0,3
MD,Amy,MD-Amy,0,0,3
MD,Kelly,MD-Kelly,0,0,3
MD,Leo,MD-Leo,0,0,3
MD,Tom,MD-Tom,0,0,3
SD,Mark,SD-Mark,0,0,3
SD,William,SD-William,0,0,3
SD,Gary,SD-Gary,0,0,3
SD,Marlon,SD-Marlon,0,0,3
SD,Evan,SD-Evan,0,0,3
SD,Hardy,SD-Hardy,0,0,3
SD,Betty,SD-Betty,0,0,3
SD,Polly,SD-Polly,0,0,3
