Model,Rate,Value_Retention,Launch_Date,Launch_Year,Sale_Price,Resale_Price
Buick_Park Avenue,F,0.386340206185567,2011/5/10,2011,38.8,14.99
Ford_Mustang,F,0.39044502617801,11/10/2015,11,76.4,29.83
Audi_S3,F,0.521010505252626,2016/7/10,2016,39.98,20.83
Audi_S5,F,0.529013254786451,09/10/2015,09,67.9,35.92
Ford_Focus,C,0.598623853211009,2016/8/1,2016,13.08,7.83
Audi_S4,C,0.607438016528926,06/15/2018,06,45.98,27.93
Buick_Encore,C,0.639027877055039,2016/6/20,2016,13.99,8.94
Mercedes_GLC300,C,0.646296296296296,2015/11/15,2015,48.6,31.41
Honda_Odyssey,C,0.650130548302872,2015/7/10,2015,22.98,14.94
BMW_330i,C,0.673672566371681,2016/9/10,2016,45.2,30.45
