Model_old,Model_new,ChangeVis_Model_old,ChangeVis_Model_new
A4,A4,0,0
A6,A6,0,0
A8,A8,0,0
S3,S3,0,0
S4,S4,0,0
S5,S5,0,0
320i,320i,0,0
325Li,325Li,0,0
330i,330i,0,0
520Li,520Li,0,0
528Li,528Li,0,0
535Li,535Li,0,0
Regal,Regal,0,0
Encore,Encore,0,0
Park Avenue,Park Avenue,0,0
Larcosse,Larcosse,0,0
Civic,Civic,0,0
Accord,Accord,0,0
,Unknown,-1,3
Passport,Passport,0,0
Odyssey,Odyssey,0,0
Focus,Focus,0,0
Mustang,Mustang,0,0
Mondeo,Mondeo,0,0
C180,C180,0,0
C200,C200,0,0
GLC200,GLC200,0,0
,Unknown,-1,3
GLC300,GLC300,0,0
E200L,E200L,0,0
E300L,E300L,0,0
DeVille,DeVille,0,0
,Unknown,-1,3
,Unknown,-1,3
,Unknown,-1,3
Escalade,Escalade,0,0
