Value_Retention_old,Value_Retention_new,ChangeVis_Value_Retention_old,ChangeVis_Value_Retention_new
0.862903226,0.386340206,0,3
0.764026005,0.390445026,0,3
0.690156854,0.521010505,0,3
0.521010505,0.529013255,0,3
0.607438017,0.598623853,0,3
0.529013255,0.607438017,0,3
0.8103125,0.639027877,0,3
0.798097576,0.646296296,0,3
0.673672566,0.650130548,0,3
0.803030303,0.673672566,0,3
0.794042862,0.675582399,0,3
0.724949172,0.675618747,0,3
0.675618747,0.690156854,0,3
0.639027877,0.694409149,0,3
0.386340206,0.706005004,0,3
0.744906997,0.724949172,0,3
0.675582399,0.728054021,0,3
0.745204337,0.744158879,0,3
0.824249166,0.744906997,0,3
0.706005004,0.745204337,0,3
0.650130548,0.75716091,0,3
0.598623853,0.764026005,0,3
0.390445026,0.774267399,0,3
0.808120133,0.778787879,0,3
0.694409149,0.794042862,0,3
0.728054021,0.798097576,0,3
0.778787879,0.803030303,0,3
0.744158879,0.808120133,0,3
0.646296296,0.8103125,0,3
0.774267399,0.824249166,0,3
0.75716091,0.862903226,0,3
