Model,Rate,Value_Retention,Launch_Date,Launch_Year,Sale_Price,Resale_Price,ChangeVis_Model,ChangeVis_Rate,ChangeVis_Value_Retention,ChangeVis_Launch_Date,ChangeVis_Launch_Year,ChangeVis_Sale_Price,ChangeVis_Resale_Price
Buick_Park Avenue,F,0.386340206,2011/5/10,2011,38.8,14.99,0,0,0,0,0,0,0
Ford_Mustang,F,0.390445026,11/10/2015,11,76.4,29.83,0,0,0,0,0,0,0
Audi_S3,F,0.521010505,2016/7/10,2016,39.98,20.83,0,0,0,0,0,0,0
Audi_S5,F,0.529013255,09/10/2015,9,67.9,35.92,0,0,0,0,0,0,0
Ford_Focus,C,0.598623853,2016/8/1,2016,13.08,7.83,0,0,0,0,0,0,0
Audi_S4,C,0.607438017,06/15/2018,6,45.98,27.93,0,0,0,0,0,0,0
Buick_Encore,C,0.639027877,2016/6/20,2016,13.99,8.94,0,0,0,0,0,0,0
Mercedes_GLC300,C,0.646296296,2015/11/15,2015,48.6,31.41,0,0,0,0,0,0,0
Honda_Odyssey,C,0.650130548,2015/7/10,2015,22.98,14.94,0,0,0,0,0,0,0
BMW_330i,C,0.673672566,2016/9/10,2016,45.2,30.45,0,0,0,0,0,0,0
Honda_Civic,C,0.675582399,2016/11/10,2016,11.59,7.83,2,2,2,2,2,2,2
Buick_Regal,C,0.675618747,2014/10/10,2014,18.99,12.83,2,2,2,2,2,2,2
Audi_A8,C,0.690156854,2016/2/10,2016,87.98,60.72,2,2,2,2,2,2,2
Mercedes_C180,C,0.694409149,2016/5/10,2016,31.48,21.86,2,2,2,2,2,2,2
Honda_Passport,B,0.706005004,2015/3/10,2015,23.98,16.93,2,2,2,2,2,2,2
BMW_535Li,B,0.724949172,2016/7/15,2016,68.86,49.92,2,2,2,2,2,2,2
Mercedes_C200,B,0.728054021,2016/5/10,2016,32.58,23.72,2,2,2,2,2,2,2
Mercedes_Unknown,B,0.744158879,2015/11/15,2015,42.8,31.85,2,2,2,2,2,2,2
Buick_Larcosse,B,0.744906997,2016/3/10,2016,22.58,16.82,2,2,2,2,2,2,2
Honda_Accord,B,0.745204337,2016/9/20,2016,23.98,17.87,2,2,2,2,2,2,2
Mercedes_E300L,B,0.75716091,2016/8/10,2016,47.48,35.95,2,2,2,2,2,2,2
Audi_A6,B,0.764026005,2016/1/1,2016,41.53,31.73,2,2,2,2,2,2,2
Mercedes_E200L,B,0.774267399,2016/8/10,2016,43.68,33.82,2,2,2,2,2,2,2
Mercedes_GLC200,B,0.778787879,2015/11/15,2015,39.6,30.84,2,2,2,2,2,2,2
BMW_528Li,B,0.794042862,2016/7/15,2016,55.06,43.72,2,2,2,2,2,2,2
BMW_325Li,B,0.798097576,2016/9/10,2016,32.59,26.01,2,2,2,2,2,2,2
BMW_520Li,A,0.803030303,2016/8/15,2016,43.56,34.98,2,2,2,2,2,2,2
Ford_Mondeo,A,0.808120133,2016/11/20,2016,17.98,14.53,2,2,2,2,2,2,2
BMW_320i,A,0.8103125,2016/9/10,2016,32,25.93,2,2,2,2,2,2,2
Honda_Unknown,A,0.824249166,2016/3/10,2016,17.98,14.82,2,2,2,2,2,2,2
Audi_A4,A,0.862903226,2015/12/10,2015,27.28,23.54,2,2,2,2,2,2,2
