Manufacturer,Model_old,Model_new,ChangeVis_Manufacturer,ChangeVis_Model_old,ChangeVis_Model_new
Audi,A4,Audi_A4,2,0,3
Audi,A6,Audi_A6,2,0,3
Audi,A8,Audi_A8,2,0,3
Audi,S3,Audi_S3,2,0,3
Audi,S4,Audi_S4,2,0,3
Audi,S5,Audi_S5,2,0,3
BMW,320i,BMW_320i,2,0,3
BMW,325Li,BMW_325Li,2,0,3
BMW,330i,BMW_330i,2,0,3
BMW,520Li,BMW_520Li,2,0,3
BMW,528Li,BMW_528Li,2,0,3
BMW,535Li,BMW_535Li,2,0,3
Buick,Regal,Buick_Regal,2,0,3
Buick,Encore,Buick_Encore,2,0,3
Buick,Park Avenue,Buick_Park Avenue,2,0,3
Buick,Larcosse,Buick_Larcosse,2,0,3
Honda,Civic,Honda_Civic,2,0,3
Honda,Accord,Honda_Accord,2,0,3
Honda,Unknown,Honda_Unknown,2,0,3
Honda,Passport,Honda_Passport,2,0,3
Honda,Odyssey,Honda_Odyssey,2,0,3
Ford,Focus,Ford_Focus,2,0,3
Ford,Mustang,Ford_Mustang,2,0,3
Ford,Mondeo,Ford_Mondeo,2,0,3
Mercedes,C180,Mercedes_C180,2,0,3
Mercedes,C200,Mercedes_C200,2,0,3
Mercedes,GLC200,Mercedes_GLC200,2,0,3
Mercedes,Unknown,Mercedes_Unknown,2,0,3
Mercedes,GLC300,Mercedes_GLC300,2,0,3
Mercedes,E200L,Mercedes_E200L,2,0,3
Mercedes,E300L,Mercedes_E300L,2,0,3
