Launch_Date,Launch_Year,ChangeVis_Launch_Date,ChangeVis_Launch_Year
2015/12/10,2015,0,1
2016/1/1,2016,0,1
2016/2/10,2016,0,1
2016/7/10,2016,0,1
06/15/2018,6,0,1
09/10/2015,9,0,1
2016/9/10,2016,0,1
2016/9/10,2016,0,1
2016/9/10,2016,0,1
2016/8/15,2016,0,1
2016/7/15,2016,0,1
2016/7/15,2016,0,1
2014/10/10,2014,0,1
2016/6/20,2016,0,1
2011/5/10,2011,0,1
2016/3/10,2016,0,1
2016/11/10,2016,0,1
2016/9/20,2016,0,1
2016/3/10,2016,0,1
2015/3/10,2015,0,1
2015/7/10,2015,0,1
2016/8/1,2016,0,1
11/10/2015,11,0,1
2016/11/20,2016,0,1
2016/5/10,2016,0,1
2016/5/10,2016,0,1
2015/11/15,2015,0,1
2015/11/15,2015,0,1
2015/11/15,2015,0,1
2016/8/10,2016,0,1
2016/8/10,2016,0,1
