Sale_Price,Resale_Price,Value_Retention,ChangeVis_Sale_Price,ChangeVis_Resale_Price,ChangeVis_Value_Retention
27.28,23.54,0.862903226,0,0,1
41.53,31.73,0.764026005,0,0,1
87.98,60.72,0.690156854,0,0,1
39.98,20.83,0.521010505,0,0,1
45.98,27.93,0.607438017,0,0,1
67.9,35.92,0.529013255,0,0,1
32,25.93,0.8103125,0,0,1
32.59,26.01,0.798097576,0,0,1
45.2,30.45,0.673672566,0,0,1
43.56,34.98,0.803030303,0,0,1
55.06,43.72,0.794042862,0,0,1
68.86,49.92,0.724949172,0,0,1
18.99,12.83,0.675618747,0,0,1
13.99,8.94,0.639027877,0,0,1
38.8,14.99,0.386340206,0,0,1
22.58,16.82,0.744906997,0,0,1
11.59,7.83,0.675582399,0,0,1
23.98,17.87,0.745204337,0,0,1
17.98,14.82,0.824249166,0,0,1
23.98,16.93,0.706005004,0,0,1
22.98,14.94,0.650130548,0,0,1
13.08,7.83,0.598623853,0,0,1
76.4,29.83,0.390445026,0,0,1
17.98,14.53,0.808120133,0,0,1
31.48,21.86,0.694409149,0,0,1
32.58,23.72,0.728054021,0,0,1
39.6,30.84,0.778787879,0,0,1
42.8,31.85,0.744158879,0,0,1
48.6,31.41,0.646296296,0,0,1
43.68,33.82,0.774267399,0,0,1
47.48,35.95,0.75716091,0,0,1
