Value_Retention,Rate,ChangeVis_Value_Retention,ChangeVis_Rate
0.862903226,A,0,1
0.764026005,0.764026005,0,1
0.690156854,0.690156854,0,1
0.521010505,0.521010505,0,1
0.607438017,0.607438017,0,1
0.529013255,0.529013255,0,1
0.8103125,A,0,1
0.798097576,0.798097576,0,1
0.673672566,0.673672566,0,1
0.803030303,A,0,1
0.794042862,0.794042862,0,1
0.724949172,0.724949172,0,1
0.675618747,0.675618747,0,1
0.639027877,0.639027877,0,1
0.386340206,0.386340206,0,1
0.744906997,0.744906997,0,1
0.675582399,0.675582399,0,1
0.745204337,0.745204337,0,1
0.824249166,A,0,1
0.706005004,0.706005004,0,1
0.650130548,0.650130548,0,1
0.598623853,0.598623853,0,1
0.390445026,0.390445026,0,1
0.808120133,A,0,1
0.694409149,0.694409149,0,1
0.728054021,0.728054021,0,1
0.778787879,0.778787879,0,1
0.744158879,0.744158879,0,1
0.646296296,0.646296296,0,1
0.774267399,0.774267399,0,1
0.75716091,0.75716091,0,1
