Rate_old,Rate_new,ChangeVis_Rate_old,ChangeVis_Rate_new
A,A,0,0
0.764026005,B,0,3
0.690156854,0.690156854,0,0
0.521010505,0.521010505,0,0
0.607438017,0.607438017,0,0
0.529013255,0.529013255,0,0
A,A,0,0
0.798097576,B,0,3
0.673672566,0.673672566,0,0
A,A,0,0
0.794042862,B,0,3
0.724949172,B,0,3
0.675618747,0.675618747,0,0
0.639027877,0.639027877,0,0
0.386340206,0.386340206,0,0
0.744906997,B,0,3
0.675582399,0.675582399,0,0
0.745204337,B,0,3
A,A,0,0
0.706005004,B,0,3
0.650130548,0.650130548,0,0
0.598623853,0.598623853,0,0
0.390445026,0.390445026,0,0
A,A,0,0
0.694409149,0.694409149,0,0
0.728054021,B,0,3
0.778787879,B,0,3
0.744158879,B,0,3
0.646296296,0.646296296,0,0
0.774267399,B,0,3
0.75716091,B,0,3
