Rate_old,Rate_new,ChangeVis_Rate_old,ChangeVis_Rate_new
A,A,0,0
0.764026005,B,0,3
0.690156854,C,0,3
0.521010505,F,0,3
0.607438017,C,0,3
0.529013255,F,0,3
A,A,0,0
0.798097576,B,0,3
0.673672566,C,0,3
A,A,0,0
0.794042862,B,0,3
0.724949172,B,0,3
0.675618747,C,0,3
0.639027877,C,0,3
0.386340206,F,0,3
0.744906997,B,0,3
0.675582399,C,0,3
0.745204337,B,0,3
A,A,0,0
0.706005004,B,0,3
0.650130548,C,0,3
0.598623853,C,0,3
0.390445026,F,0,3
A,A,0,0
0.694409149,C,0,3
0.728054021,B,0,3
0.778787879,B,0,3
0.744158879,B,0,3
0.646296296,C,0,3
0.774267399,B,0,3
0.75716091,B,0,3
