id_old,id_new,ChangeVis_id_old,ChangeVis_id_new
01-Bob,01,0,3
02-Lily,02,0,3
02-Lily,02,0,3
03-Ivy,03,0,3
04-Alan,04,0,3
05-John,05,0,3
05-John,05,0,3
06-Tom,06,0,3
07-Iris,07,0,3
07-Iris,07,0,3
08-David,08,0,3
09-Tony,09,0,3
10-Eric,10,0,3
11-Jim,11,0,3
11-Jim,11,0,3
12-Ken,12,0,3
13-Judy,13,0,3
14-Mandy,14,0,3
15-Tina,15,0,3
15-Tina,15,0,3
16-Sara,16,0,3
17-Diana,17,0,3
18-Amy,18,0,3
19-Kelly,19,0,3
20-Leo,20,0,3
21-Mark,21,0,3
22-Nick,22,0,3
23-William,23,0,3
21-Mark,21,0,3
24-Gary,24,0,3
25-Peter,25,0,3
26-Marlon,26,0,3
27-Evan,27,0,3
28-Hardy,28,0,3
29-Betty,29,0,3
30-Polly,30,0,3
