id,math,art,ChangeVis_id,ChangeVis_math,ChangeVis_art
01,87,79,0,0,0
02,92,77,0,0,0
02,92,77,2,2,2
03,74,80,0,0,0
04,64,93,0,0,0
05,68,81,0,0,0
05,68,81,2,2,2
06,9,75,0,0,0
07,71,84,0,0,0
07,71,84,2,2,2
08,65,91,0,0,0
09,57,65,0,0,0
10,85,45,0,0,0
11,82,99,0,0,0
11,82,99,2,2,2
12,84,92,0,0,0
13,81,74,0,0,0
14,67,165,0,0,0
15,72,90,0,0,0
15,72,90,2,2,2
16,75,8,0,0,0
17,82,66,0,0,0
18,89,44,0,0,0
19,77,67,0,0,0
20,89,100,0,0,0
21,67,40,0,0,0
22,96,88,0,0,0
23,78,92,0,0,0
21,67,40,2,2,2
24,81,45,0,0,0
25,99,86,0,0,0
26,55,47,0,0,0
27,76,78,0,0,0
28,56,90,0,0,0
29,56,87,0,0,0
30,95,24,0,0,0
