math,art,total,ChangeVis_math,ChangeVis_art,ChangeVis_total
87,79,166,0,0,1
92,77,169,0,0,1
74,80,154,0,0,1
64,93,157,0,0,1
68,81,149,0,0,1
9,75,84,0,0,1
71,84,155,0,0,1
65,91,156,0,0,1
57,65,122,0,0,1
85,45,130,0,0,1
82,99,181,0,0,1
84,92,176,0,0,1
81,74,155,0,0,1
67,165,232,0,0,1
72,90,162,0,0,1
75,8,83,0,0,1
82,66,148,0,0,1
89,44,133,0,0,1
77,67,144,0,0,1
89,100,189,0,0,1
67,40,107,0,0,1
96,88,184,0,0,1
78,92,170,0,0,1
81,45,126,0,0,1
99,86,185,0,0,1
55,47,102,0,0,1
76,78,154,0,0,1
56,90,146,0,0,1
56,87,143,0,0,1
95,24,119,0,0,1
